y,elastic_net_logistic,xgboost,ebm
1,0.5789608834993851,0.45742247700691224,0.3773538655725496
1,0.5705431842212111,0.6959251880645752,0.7142564420790334
1,0.6094839972988939,0.5650584697723389,0.7782276767555218
1,0.4525928619959697,0.47642960250377653,0.3911964332980439
1,0.9141817601011608,0.8095477283000946,0.9703743201981121
1,0.36783300554791754,0.4099537909030914,0.3493995861438167
1,0.7164918208770746,0.5173701375722886,0.6753410350017813
1,0.622007233013729,0.4893606215715408,0.6529939374319078
1,0.6293356051587468,0.8022686123847962,0.615529905389385
1,0.9058859625507347,0.844777512550354,0.9770434764930231
1,0.6079625615976763,0.8139526665210723,0.9546866588736572
1,0.9569392092302564,0.806668508052826,0.975457535707875
1,0.5655174092708013,0.6763619184494019,0.8161683699841491
1,0.9852920274767574,0.7696764171123505,0.9785684665895354
1,0.9518610999024559,0.7060864329338074,0.8912924214524436
1,0.4970735761281567,0.6938410341739655,0.45536523868676
1,0.7940231425994009,0.798110431432724,0.9471251400805609
1,0.7765748741427071,0.617020207643509,0.8122996708204754
1,0.7356063103166169,0.7809665143489838,0.8416358949087777
1,0.9219244680367463,0.8187531590461731,0.945903091831901
1,0.660920924225245,0.6006337344646454,0.9456286284783431
1,0.5317233084935966,0.5823702126741409,0.46401378823262984
1,0.15074525535644556,0.4017264246940613,0.33716516605426783
1,0.6822892054640135,0.7459819912910461,0.8951282157425353
1,0.8776917608142923,0.8372984886169433,0.9063194711267286
1,0.7734807031052167,0.8089082598686218,0.8971402759733953
1,0.9181417703644371,0.7772785902023316,0.8815623096343911
1,0.372498332169245,0.6594023734331131,0.0959748514950358
1,0.6099475548559521,0.5896460473537445,0.7452522895297229
1,0.9127408992590175,0.6973792254924774,0.9621725619056264
1,0.9812847694527393,0.7915863513946533,0.9744367771016001
0,0.33577751274875567,0.6008652687072754,0.4953710727067883
0,0.08090244518586166,0.2932204812765121,0.13659407236927307
0,0.5975990083089436,0.37985042333602903,0.48459758072460996
0,0.18479040774418767,0.22907471507787705,0.1298543764256987
0,0.18380997563217688,0.40734194219112396,0.13136479532484252
0,0.11492959004805843,0.21375495195388794,0.058408334380972794
0,0.22069817356212695,0.714647251367569,0.30966060683986807
0,0.3575673958378827,0.4929803103208542,0.4296556390518833
0,0.38357818345935024,0.4069892972707748,0.24110005829585285
0,0.18030662730836328,0.2984362497925758,0.17038856144535347
0,0.10120002528369096,0.2610377937555313,0.14814290852453077
0,0.5147497856647594,0.5493665426969528,0.4761535643276987
0,0.7265860235837424,0.5729675441980362,0.7049201002987832
0,0.47426180505961674,0.493701708316803,0.7116311452482412
0,0.3651639511788747,0.35529085248708725,0.23545419996607322
0,0.15650937115572378,0.350019645690918,0.19971058136938533
0,0.4230301293537768,0.3696021854877472,0.5438020710646001
0,0.15751736109167092,0.25910660475492475,0.054442231087357684
0,0.8952309182312934,0.7110743463039398,0.9036936488628052
0,0.27997756648784583,0.6422088444232941,0.13292873843893158
0,0.29546148043376064,0.2619489416480064,0.16976683670801948
0,0.28383498470520224,0.26740695983171464,0.20537261788064293
0,0.16856083997876506,0.2598141968250275,0.0852475183191657
0,0.33633229198608966,0.29531278610229494,0.180013836708233
0,0.4965007476697708,0.4310538500547409,0.5669552759703406
