y,elastic_net_logistic,xgboost,ebm
1,0.6142345994695274,0.39724903404712675,0.4985431600450888
1,0.5395641096349328,0.5842378467321396,0.8780658100672403
1,0.405468347121793,0.3000575378537178,0.35868393360725614
1,0.6404253384668699,0.5383929133415222,0.7389185277208243
1,0.9215299991908659,0.8834729790687561,0.9982381324964889
1,0.7394059679975167,0.8756066620349884,0.8786488963938932
1,0.9178020041008093,0.8844758808612824,0.9822212396290444
1,0.9086404378273955,0.8841247737407685,0.9974467331541204
1,0.6833972142711475,0.5725624322891235,0.8310290198346484
1,0.8924987683320488,0.8230017006397248,0.9910834222350576
1,0.9340457413863309,0.8812414109706879,0.9976840910408965
1,0.9523860603000956,0.8850388467311859,0.9986054877782152
1,0.8682528398886502,0.8820755958557129,0.9970583941039317
1,0.974748549714595,0.8331935584545136,0.9974943031649077
1,0.8077226468991603,0.8824964761734009,0.993319178025529
1,0.5236710448539601,0.4818797379732132,0.5411897893647934
1,0.9094002686991646,0.8817397475242614,0.9983797107749002
1,0.980906536180975,0.8826307833194733,0.9983546053603517
1,0.8598883882788033,0.8832907199859619,0.9944933565283653
1,0.9155264630854425,0.8809774160385132,0.9991713496563971
1,0.897142535814677,0.8759194076061249,0.9931805015240626
1,0.9165559605751247,0.8837802052497864,0.9911738591661736
1,0.4995974413110136,0.8728916883468628,0.9302949712256474
1,0.7198607312033554,0.8603200674057007,0.9911378290261057
1,0.9589576897317565,0.8856118440628051,0.9991511388707703
1,0.9450306221199216,0.8845553040504456,0.9984849607754891
1,0.9992669110634841,0.8829460859298706,0.9996082336731863
1,0.8920032312060664,0.8820858001708984,0.5672756330181824
1,0.9306306671978763,0.8820536196231842,0.9988253301994382
1,0.9925751976707279,0.8827129483222962,0.9999364874114314
1,0.9958681950378189,0.8826736748218537,0.9998904093570372
0,0.10208206726581597,0.1691893756389618,0.0011517261051594255
0,0.14204515761215894,0.5049071460962296,0.12705289263322067
0,0.4937285809978055,0.6932630181312561,0.5711674839000018
0,0.0369887061369711,0.1644890546798706,0.00030707230986413243
0,0.048174656567509966,0.18118725568056107,8.885251720617124e-05
0,0.06495267006176114,0.16762482672929763,0.00023473175022813917
0,0.2078367902965414,0.17790344804525376,0.002966255580822855
0,0.12574236774941247,0.17890896201133727,0.006939730430120207
0,0.26428953450138043,0.16676583886146545,0.0197757364173136
0,0.0840116891598128,0.16837283372879028,0.005937416064302367
0,0.1040148010084889,0.17109479755163193,0.005090123955767997
0,0.20257732132976466,0.18452088534832,0.03982939307711572
0,0.4001896146129429,0.18554307520389557,0.10772008198895748
0,0.1814236952050335,0.17777743935585022,0.1902692279988319
0,0.2799061523726638,0.22073144614696502,0.03358338635029285
0,0.07866828497022633,0.1670053109526634,0.016188261523452496
0,0.033234555083151,0.21050458997488022,0.17945413484963674
0,0.17807430507420643,0.2833049073815346,0.0072392383110729056
0,0.6338047114727946,0.18685440868139266,0.6812958462470494
0,0.15773710623991616,0.17991327941417695,0.003506341643483635
0,0.34299213765674813,0.5760478883981704,0.22312434849159074
0,0.30944540672010223,0.28213894069194795,0.15479352928485451
0,0.1632093361118347,0.16483676433563232,0.0030534832741701944
0,0.29013084250684607,0.17036215364933013,0.046103172642479776
0,0.21033830338408283,0.16779427081346512,0.010970022873383233
