y,elastic_net_logistic,xgboost,ebm,Animal
Healthy,"[0.9357811086231395, 0.05689362807596773, 0.00732526330089265]","[0.9017078280448914, 0.06884019076824188, 0.02945197932422161]","[0.9774939117025228, 0.022142846766004556, 0.0003632415314726397]",VF
Healthy,"[0.8307919905343204, 0.16639674910313854, 0.0028112603625411224]","[0.8668773174285889, 0.07978220283985138, 0.05334051325917244]","[0.9832882608451383, 0.01421527785028624, 0.0024964613045755256]",VF
Healthy,"[0.6523986623080434, 0.20885728384808802, 0.13874405384386848]","[0.5921393036842346, 0.33118849992752075, 0.07667222619056702]","[0.847392274488468, 0.12712405142959543, 0.02548367408193653]",W
Healthy,"[0.9363610682099301, 0.04576915168690906, 0.017869780103160742]","[0.8533242344856262, 0.09971417486667633, 0.046961575746536255]","[0.9143642729348751, 0.08380095120558288, 0.0018347758595421045]",W
Healthy,"[0.9980284413171381, 0.0014984460660122485, 0.00047311261684954543]","[0.8537288308143616, 0.09871285408735275, 0.04755835235118866]","[0.9949119542666308, 0.005069643608453043, 1.8402124916223003e-05]",W
Healthy,"[0.9998649866056998, 0.00013501324109772573, 1.5320244847155803e-10]","[0.9136490821838379, 0.04396822303533554, 0.04238271713256836]","[0.9964951923101121, 0.0034271890014342297, 7.761868845377881e-05]",W
Healthy,"[0.9994077205217048, 0.00011507010296397012, 0.00047720937533132985]","[0.9244120717048645, 0.041640058159828186, 0.03394785523414612]","[0.9973405034720544, 0.0025548326040185435, 0.00010466392392693969]",W
CKD,"[0.00353711950895429, 0.30009881373927877, 0.6963640667517669]","[0.06671962887048721, 0.2920647859573364, 0.6412155628204346]","[0.04591668416926948, 0.31794883883761915, 0.6361344769931114]",WS
CKD,"[0.563948620990207, 0.4059033907173647, 0.03014798829242829]","[0.7611043453216553, 0.17845125496387482, 0.0604444295167923]","[0.6855582921719251, 0.29344006903358905, 0.021001638794485824]",WS
CKD,"[0.9423269008113713, 0.0554867310031584, 0.0021863681854702253]","[0.8380634784698486, 0.11161669343709946, 0.050319869071245193]","[0.7898159595249831, 0.18244113233882506, 0.027742908136191867]",WS
CKD,"[0.08893601721996784, 0.3114025385120466, 0.5996614442679856]","[0.1381063014268875, 0.36585569381713867, 0.496038019657135]","[0.06763558308229078, 0.294288130866028, 0.6380762860516812]",X
CKD,"[0.03878580010624651, 0.3926130715589859, 0.5686011283347677]","[0.06911619752645493, 0.19869618117809296, 0.7321875691413879]","[0.06903215047999259, 0.1854748260079217, 0.7454930235120858]",X
CKD,"[0.2987432760446346, 0.28192418292963484, 0.41933254102573053]","[0.3607589602470398, 0.22030173242092133, 0.4189393222332001]","[0.33486889920905616, 0.21888485321601667, 0.44624624757492704]",X
Healthy,"[0.8541324059279467, 0.13048616820435646, 0.015381425867697002]","[0.6828208565711975, 0.23497681319713593, 0.08220230787992477]","[0.5778459325023425, 0.41109061666284896, 0.011063450834808475]",XS
Healthy,"[0.7153171659022675, 0.2345874610470853, 0.0500953730506472]","[0.7105821371078491, 0.20125436782836914, 0.08816356956958771]","[0.750291842285659, 0.17466960733454623, 0.07503855037979477]",XS
Healthy,"[0.9311848526834369, 0.04783432489801823, 0.020980822418544993]","[0.854759693145752, 0.0962744727730751, 0.04896586760878563]","[0.9128152222511863, 0.0806273057191632, 0.006557472029650518]",XS
Healthy,"[0.7060424264327898, 0.26888763399964105, 0.025069939567569033]","[0.5195211172103882, 0.3351669907569885, 0.1453118622303009]","[0.5619527411914333, 0.37719803285799036, 0.06084922595057635]",XS
Healthy,"[0.7421743849449695, 0.2066621104448915, 0.05116350461013897]","[0.5882583856582642, 0.2487208992242813, 0.16302073001861572]","[0.5578484899022956, 0.23996434398156555, 0.20218716611613893]",XS
Healthy,"[0.013675624493368375, 0.2624004498038002, 0.7239239257028315]","[0.06155506893992424, 0.2130851149559021, 0.7253598570823669]","[0.0020177888283832296, 0.20886302593629802, 0.7891191852353187]",XS
CaOx,"[0.571997901765876, 0.2728086926611719, 0.1551934055729521]","[0.7080615162849426, 0.18489769101142883, 0.10704079270362854]","[0.8265579350639172, 0.0795064417747443, 0.09393562316133863]",Y
CaOx,"[0.5141606676622541, 0.4281139646410834, 0.057725367696662526]","[0.41711506247520447, 0.4562147259712219, 0.126670241355896]","[0.43081004702844106, 0.4096163133299688, 0.15957363964159002]",Y
CaOx,"[0.6800003228374867, 0.1709527649785562, 0.1490469121839572]","[0.4796919524669647, 0.3241858184337616, 0.19612230360507965]","[0.6956507924846898, 0.20640960082322599, 0.09793960669208436]",Y
CaOx,"[0.21500818482804468, 0.6586960690141044, 0.12629574615785089]","[0.5525529980659485, 0.2203150987625122, 0.2271319031715393]","[0.7198021692559875, 0.2508075830655757, 0.029390247678436933]",Y
CaOx,"[0.12805877358286388, 0.6955889403068837, 0.17635228611025253]","[0.12391449511051178, 0.6612114906311035, 0.2148740142583847]","[0.02084137032493974, 0.8230205447718317, 0.15613808490322856]",YH
CaOx,"[0.06319624321781711, 0.49182315168380675, 0.44498060509837617]","[0.0654362291097641, 0.5700162053108215, 0.36454758048057556]","[0.01300207906889818, 0.4439875500909547, 0.5430103708401472]",YH
CaOx,"[0.5754409195652271, 0.3867179181784426, 0.03784116225633025]","[0.6264010667800903, 0.26079997420310974, 0.11279897391796112]","[0.5862798280472314, 0.3633425918982257, 0.05037758005454279]",YU
CaOx,"[0.4524478958928778, 0.41347726803566626, 0.1340748360714559]","[0.5858708024024963, 0.30878815054893494, 0.10534103214740753]","[0.5524463296681126, 0.343687322475968, 0.10386634785591933]",YU
CaOx,"[0.707865702996355, 0.22796269353558368, 0.06417160346806129]","[0.692633330821991, 0.22129574418067932, 0.0860709473490715]","[0.7117236961202897, 0.27108098507112394, 0.01719531880858627]",YU
CaOx,"[0.49477455457934016, 0.36342866136095825, 0.14179678405970164]","[0.5273260474205017, 0.3164897859096527, 0.15618418157100677]","[0.6403676131493883, 0.2628871759992015, 0.0967452108514103]",YU
CaOx,"[0.26547766857915295, 0.5617933245117008, 0.1727290069091463]","[0.48351332545280457, 0.38465431332588196, 0.13183234632015228]","[0.266126395743792, 0.5336556171691317, 0.20021798708707642]",YU
CaOx,"[0.1202717416487535, 0.5726520071632096, 0.30707625118803694]","[0.18913058936595917, 0.5256469249725342, 0.28522247076034546]","[0.06337491264845464, 0.7714928753422043, 0.16513221200934108]",YU
Healthy,"[0.8207460986151024, 0.11471753570890039, 0.06453636567599738]","[0.8016239404678345, 0.16877862811088562, 0.029597414657473564]","[0.6880791374175346, 0.2755776757485958, 0.03634318683386973]",Z
Healthy,"[0.7605630745253763, 0.10916357946948178, 0.1302733460051418]","[0.7821740508079529, 0.15892918407917023, 0.058896757662296295]","[0.8396596057396002, 0.09577953370345016, 0.06456086055694965]",Z
Healthy,"[0.5850886873104166, 0.20332527519150384, 0.21158603749807955]","[0.7376063466072083, 0.13929547369480133, 0.12309823930263519]","[0.567731155906, 0.12019259181252386, 0.31207625228147623]",Z
Healthy,"[0.7552798386596903, 0.1664667213944273, 0.0782534399458825]","[0.7079865336418152, 0.24153685569763184, 0.05047666281461716]","[0.7564366618434727, 0.20185821919075222, 0.04170511896577514]",Z
Healthy,"[0.8261880142346715, 0.0170103256607698, 0.15680166010455876]","[0.5946187376976013, 0.05557839199900627, 0.34980282187461853]","[0.594591537473583, 0.10185038987449002, 0.3035580726519272]",Z
CaOx,"[0.9214342387031181, 0.013773489482863647, 0.06479227181401816]","[0.8072744011878967, 0.0741487517952919, 0.11857683211565018]","[0.9716313407022497, 0.006754649461362518, 0.021614009836387855]",ZA
CaOx,"[0.6826923585460869, 0.1964781556710001, 0.12082948578291304]","[0.5037797093391418, 0.255938321352005, 0.24028195440769196]","[0.8853759167589363, 0.0683547214501454, 0.046269361790918104]",ZA
CaOx,"[0.7671230307209976, 0.10126511251583457, 0.1316118567631678]","[0.785102903842926, 0.09459317475557327, 0.12030395120382309]","[0.9340945241399997, 0.03405515925278886, 0.03185031660721132]",ZA
CaOx,"[0.05965043535786042, 0.5030421763683895, 0.4373073882737501]","[0.1320645958185196, 0.44224995374679565, 0.42568546533584595]","[0.01694054589009889, 0.6815622385672272, 0.30149721554267384]",ZA
CaOx,"[0.9065703128171015, 0.08044375180595115, 0.012985935376947255]","[0.7246624231338501, 0.22259269654750824, 0.05274485424160957]","[0.9141617776018564, 0.08479522985960611, 0.0010429925385375583]",ZA
CaOx,"[0.755325023559248, 0.20878580331802143, 0.03588917312273062]","[0.7508981823921204, 0.12331093847751617, 0.12579086422920227]","[0.8390346885605093, 0.14207377303366706, 0.01889153840582363]",ZA
CaOx,"[0.1682416860293914, 0.3389326052159301, 0.49282570875467846]","[0.250487744808197, 0.4478343427181244, 0.3016779124736786]","[0.2571041503486587, 0.45204066741009785, 0.29085518224124346]",ZA
