y,elastic_net_logistic,xgboost,ebm,Animal
Healthy,"[0.9999889143459376, 1.0104693435071568e-05, 9.809606273972026e-07]","[0.7959213852882385, 0.1680508255958557, 0.036027781665325165]","[0.986918413954469, 0.013077248116243601, 4.337929287431172e-06]",F
Healthy,"[0.6061919712420878, 0.2745579994137054, 0.11925002934420663]","[0.3327687084674835, 0.48879215121269226, 0.1784391701221466]","[0.4468211058395837, 0.30292234714760735, 0.2502565470128089]",F
Healthy,"[0.8433061092575995, 0.09887836566512662, 0.05781552507727386]","[0.4868149757385254, 0.31560832262039185, 0.19757671654224396]","[0.8156419428172696, 0.12888397009260055, 0.05547408709012965]",F
Healthy,"[0.27896074292562184, 0.450608546271744, 0.27043071080263414]","[0.17691104114055634, 0.7202273011207581, 0.10286165773868561]","[0.09551663632515223, 0.590983592880902, 0.3134997707939457]",G
Healthy,"[0.1911871675891153, 0.4653630459918027, 0.3434497864190821]","[0.14714977145195007, 0.7206401228904724, 0.13221007585525513]","[0.08086066285814535, 0.5088401184044771, 0.41029921873737757]",G
Healthy,"[0.3318614864065831, 0.5645825195940454, 0.10355599399937145]","[0.3872900605201721, 0.5432846546173096, 0.0694253221154213]","[0.34018771306087325, 0.6122995886563558, 0.04751269828277094]",G
Healthy,"[0.31093052008745276, 0.5302415913496696, 0.15882788856287755]","[0.41401124000549316, 0.4143829941749573, 0.17160572111606598]","[0.5142550462662215, 0.29130770339355655, 0.194437250340222]",G
Healthy,"[0.5289270188293606, 0.2565894000402261, 0.21448358113041335]","[0.39956045150756836, 0.197030708193779, 0.40340885519981384]","[0.5028375529760876, 0.20859162959358551, 0.2885708174303269]",G
CKD,"[0.008919359464211667, 0.31409085733156183, 0.6769897832042265]","[0.09169722348451614, 0.17867586016654968, 0.7296268939971924]","[0.056435558602370546, 0.08469559859610884, 0.8588688428015206]",H
CKD,"[0.030818132736031543, 0.3637024005747803, 0.6054794666891881]","[0.07895617187023163, 0.21190989017486572, 0.7091339826583862]","[0.03476504200199354, 0.3579984582982139, 0.6072364996997927]",H
CKD,"[0.04427415685271311, 0.39798714510471794, 0.557738698042569]","[0.08484810590744019, 0.19667457044124603, 0.7184773087501526]","[0.044830607023164236, 0.3143562995095842, 0.6408130934672515]",H
Healthy,"[0.16812182720511476, 0.5288946816537479, 0.30298349114113726]","[0.2605213522911072, 0.40217360854148865, 0.3373050093650818]","[0.10968530160311864, 0.2977440299295171, 0.5925706684673643]",I
Healthy,"[0.7661613380949751, 0.13032655293088766, 0.10351210897413723]","[0.6745712161064148, 0.2290375828742981, 0.09639124572277069]","[0.7011667855641593, 0.2928212675201662, 0.0060119469156745585]",I
Healthy,"[0.5740358828324537, 0.20755375867292425, 0.21841035849462212]","[0.5263267159461975, 0.12288614362478256, 0.3507871627807617]","[0.6540609718589074, 0.12271799699332747, 0.22322103114776512]",I
Healthy,"[0.865596325350781, 0.05364777623592449, 0.0807558984132944]","[0.6530433297157288, 0.08613663911819458, 0.2608200013637543]","[0.938922260625183, 0.0273086809694834, 0.0337690584053336]",I
Healthy,"[0.43720777626934804, 0.1863167064686804, 0.3764755172619715]","[0.1928563117980957, 0.34518858790397644, 0.46195513010025024]","[0.28049925435634615, 0.3662819547524256, 0.35321879089122826]",I
Healthy,"[0.24970322977959114, 0.4346945221951052, 0.31560224802530373]","[0.14662256836891174, 0.40839362144470215, 0.4449838697910309]","[0.10978137764987066, 0.3951496145290417, 0.4950690078210877]",I
CKD,"[0.48343584921503674, 0.2870294027814998, 0.22953474800346355]","[0.7548977732658386, 0.13715827465057373, 0.10794395208358765]","[0.7766189270021138, 0.20019087048914103, 0.02319020250874537]",IK
CKD,"[0.28409070325770225, 0.2499254054352614, 0.46598389130703644]","[0.5156099796295166, 0.19537918269634247, 0.2890108525753021]","[0.6151671592814012, 0.21912628918032243, 0.16570655153827632]",IK
CKD,"[0.1802361148050691, 0.7037212260765362, 0.1160426591183947]","[0.3681434392929077, 0.5033089518547058, 0.12854759395122528]","[0.28392153606122134, 0.6704026565234698, 0.04567580741530897]",IK
CKD,"[0.21107844873535916, 0.6203529023037556, 0.16856864896088522]","[0.36180728673934937, 0.49321049451828003, 0.1449822038412094]","[0.4450425059434595, 0.4787358819627964, 0.07622161209374403]",IK
CKD,"[0.13500004810344376, 0.68911078647619, 0.1758891654203661]","[0.11642584949731827, 0.7646610736846924, 0.11891307681798935]","[0.12366000833208193, 0.5692631897391162, 0.3070768019288019]",IK
CKD,"[0.16500518042884063, 0.7601077952105786, 0.07488702436058073]","[0.2589508295059204, 0.5906567573547363, 0.15039245784282684]","[0.08881104221137966, 0.8888398468901284, 0.02234911089849182]",IK
CaOx,"[0.5766232439460275, 0.3814458756280489, 0.04193088042592372]","[0.8830822110176086, 0.07081176340579987, 0.0461060032248497]","[0.9703774089903558, 0.025114055058779994, 0.004508535950864247]",J
CaOx,"[0.7378572034193659, 0.16876025390795832, 0.09338254267267583]","[0.6919610500335693, 0.20527905225753784, 0.10275992006063461]","[0.8409685977410348, 0.13359713410196658, 0.025434268156998622]",J
CaOx,"[0.7665681852563101, 0.18873845645297566, 0.04469335829071425]","[0.9112297296524048, 0.04770851880311966, 0.04106169939041138]","[0.9725591121644656, 0.0222575341068668, 0.005183353728667721]",J
CaOx,"[0.13633688628062757, 0.7176367139350953, 0.146026399784277]","[0.19282209873199463, 0.43193528056144714, 0.37524256110191345]","[0.20039723129124162, 0.6644998063895484, 0.13510296231920974]",J
CaOx,"[0.49167302544210156, 0.3160976967177583, 0.19222927784014018]","[0.33476489782333374, 0.28944462537765503, 0.37579044699668884]","[0.5417160654275561, 0.2221019946789948, 0.23618193989344904]",J
Healthy,"[0.8198287518391731, 0.1710994563427848, 0.009071791818042147]","[0.827419102191925, 0.1270264983177185, 0.045554421842098236]","[0.9270943315429636, 0.0688857345547168, 0.004019933902319713]",K
CaOx,"[0.6033951172043969, 0.2681266423772381, 0.12847824041836498]","[0.5668914318084717, 0.2976745069026947, 0.13543404638767242]","[0.5478757300408524, 0.1762247719413869, 0.27589949801776076]",L
CaOx,"[0.5255654128772432, 0.25483610929066525, 0.21959847783209144]","[0.14798685908317566, 0.3249228298664093, 0.5270902514457703]","[0.339525730705768, 0.3282007414639159, 0.3322735278303161]",L
CaOx,"[0.3131419219330652, 0.27277817427380585, 0.4140799037931289]","[0.11944249272346497, 0.21101991832256317, 0.6695375442504883]","[0.1662355748667394, 0.2801231619249918, 0.5536412632082688]",L
CaOx,"[0.6448770748118109, 0.23792132384276013, 0.11720160134542894]","[0.5876290202140808, 0.28563156723976135, 0.12673936784267426]","[0.43194126250465115, 0.33760924207709864, 0.2304494954182502]",L
CKD,"[0.9891335627637764, 0.010142544076275831, 0.0007238931599477318]","[0.9180280566215515, 0.04213859140872955, 0.03983340039849281]","[0.9888062496076722, 0.009925483049825469, 0.0012682673425023622]",M
CKD,"[0.9116694430004988, 0.08152262621586383, 0.006807930783637379]","[0.9171207547187805, 0.051147859543561935, 0.03173145279288292]","[0.959725390126879, 0.03879283160303713, 0.001481778270083956]",M
